Provinsi,Ibukota,Populasi,PDRB,Luas_prov,Luas_hutan,Epk,Intensitas_em,Tahun_Dasar,ETDT,ETDETI,ETDL,Aksi_Adaptasi
Aceh,Banda Aceh,4494.4,79145,57956,5102,10.34,587.07,2010,20.27,4.84,21.35,No
Sumatera Utara,Medan,12982.2,275057,72981.23,10331,20.03,945.3,2010,25.15,49.85,185,Yes
Sumatera Barat,Padang,4846.9,87227,42012.89,7067,4.01,222.91,2010,12.75,3.22,0.65,No
Riau,Pekanbaru,5538.4,345774,87023.66,81164,38.5,616.62,2010,206.54,5.91,0.76,No
Jambi,Jambi,3092.3,53858,50058.16,13194,11.35,651.5,2010,31.94,2.68,0.47,No
Sumatera Selatan,Palembang,7450.4,157735,91592.43,25779,8.37,395.36,2010,53.07,7.58,1.32,Yes
Bengkulu,Bengkulu,1715.5,18600,19919.33,882,3.16,291.7,2010,4.23,0.91,0.29,No
Lampung,Bandar Lampung,7608.4,108404,34623.8,11366,11.91,835.79,2010,35.84,3.88,50.7,No
Bangka Belitung,Pangkal Pinang,1223.3,26713,16424.06,1514,2.99,136.94,2010,1.98,1.48,0.2,No
Kepulauan Riau,Tanjung Pinang,1679.2,71615,8201.72,2638,2.03,47.67,2010,0.54,2.36,0.51,No
DKI Jakarta,Jakarta,9607.8,861992,664.01,0,2.99,33.34,2005,0.22,21.34,7.19,No
Jawa Barat,Bandung,43053.7,771594,35377.76,1319,1.42,79.49,2010,17.93,36.27,7.13,No
Jawa Tengah,Semarang,32382.7,444666,32800.69,23136,1.33,96.5,2010,16.27,22.73,3.91,Yes
DI Yogyakarta,Yogyakarta,3457.5,45626,3133.15,816,1.26,95.69,2010,1.6,1.65,1.12,No
Jawa Timur,Surabaya,37476.8,778564,47799.75,16105,2.62,126.08,2011,23.35,56.58,18.23,No
Banten,Serang,10632.2,171748,9662.92,1439,1.39,86.01,2010,2.5,8.15,4.12,No
Bali,Denpasar,3890.8,67194,5780.06,320,12.68,734.12,2010,1.9,4.51,42.92,No
Nusa Tenggara Barat,Mataram,4500.2,49632,18572.32,3887,1.51,137.36,2010,3.55,2.36,0.91,No
Nusa Tenggara Timur,Kupang,4683.8,27746,48718.1,37183,1.12,188.51,2010,2.37,1.44,1.41,No
Kalimantan Barat,Pontianak,4396,60542,147307,154287,14.29,1037.25,2010,58.68,3.46,0.66,No
Kalimantan Tengah,Palangka Raya,2212.1,42571,153564.5,100959,41.13,2137.38,2010,85.59,2.43,2.97,No
Kalimantan Selatan,Banjarmasin,3626.6,59823,38744.23,9884,3.36,203.76,2010,7.35,4.39,0.46,No
Kalimantan Timur,Samarinda,3553.1,321764,204534.34,90763,9.02,99.59,2010,18.5,11.8,1.74,No
Kalimantan Utara,Bulungan,0,0,0,49480,0,0,2010,3.74,0.01,0.09,No
Sulawesi Utara,Manado,2270.6,36809,13851.64,837,1.45,89.73,2010,1.19,1.74,0.37,No
Sulawesi Tengah,Palu,2635,37314,61841.29,108608,3.47,245.32,2010,7.1,1.73,0.32,Yes
Sulawesi Selatan,Makassar,8034.8,117862,46717.48,1171,2.05,139.9,2010,6.92,4.72,2.21,No
Sulawesi Tenggara,Kendari,2232.6,28377,38067.7,2977,2.49,196,2010,3.47,1.78,0.31,Yes
Gorontalo,Gorontalo,1040.2,8057,11257.07,2894,1.69,217.93,2012,0.99,0.57,0.19,Yes
Sulawesi Barat,Mamuju,1158.6,10985,16787.18,3966,1.3,137.46,2010,0.99,0.38,0.14,Yes
Maluku ,Ambon,1533.5,8085,46914.03,17420,1.41,268.29,2012,0.92,1.08,0.18,Yes
Maluku Utara,Ternate,1038.1,5390,31982.5,20963,4.78,921.26,2010,4,0.84,0.13,No
Papua Barat,Manokwari,760.4,26873,97024.27,87386,6.23,201.09,2010,13.35,4.15,0.14,No
Papua,Jayapura,2833.4,87733,319036.05,183220,23.73,766.39,2010,23.93,1.36,41.96,No
